"","Country A","Country B","KL divergence - per capita"
"237","Hungary (C)","Slovakia (C)","0.108875816924933"
"238","Hungary (C)","Slovenia (C)","0.149805298181679"
"239","Hungary (C)","Spain (C)","0.160088435573384"
"240","Hungary (C)","Switzerland (C)","0.133349207107113"
"241","Hungary (C)","United Kingdom (C)","0.110445305610768"
"242","Hungary (C)","Belgium, 2006","0.278841169816554"
"243","Hungary (C)","Belgium, 2010","0.573977546632786"
"244","Hungary (C)","China (Shanghai), 2018","0.854814494705228"
"245","Hungary (C)","France, 2012","0.385867311324258"
"246","Hungary (C)","Hong Kong, 2016","0.825290592810658"
"247","Hungary (C)","Peru, 2011","3.24243032723232"
"248","Hungary (C)","Zimbabwe, 2013","1.35821247952181"
"249","Hungary (C)","Italy (P)","0.679406648238118"
"250","Hungary (C)","Germany (P)","0.606299892922394"
"251","Hungary (C)","Luxembourg (P)","0.475099506225766"
"252","Hungary (C)","Netherlands (P)","1.12375762187902"
"253","Hungary (C)","Poland (P)","0.367198819512612"
"254","Hungary (C)","United Kingdom (P)","0.391868301889928"
"255","Hungary (C)","Finland (P)","0.745424253737043"
"256","Hungary (C)","Belgium (P)","0.628023517148186"
"257","Italy (C)","Austria (C)","0.168511345190159"
"258","Italy (C)","Croatia (C)","0.19343227851394"
"259","Italy (C)","Denmark (C)","0.259791498690355"
"260","Italy (C)","Estonia (C)","0.233932054088816"
"261","Italy (C)","Finland (C)","0.173403915536098"
"262","Italy (C)","France (C)","0.170517843782845"
"263","Italy (C)","Greece (C)","0.172412843347243"
"264","Italy (C)","Hungary (C)","0.140214608512456"
"265","Italy (C)","Italy (C)","0"
"266","Italy (C)","Lithuania (C)","0.149172654291864"
"267","Italy (C)","Netherlands (C)","0.220757160068257"
"268","Italy (C)","Portugal (C)","0.151918689353482"
"269","Italy (C)","Slovakia (C)","0.130945855346223"
"270","Italy (C)","Slovenia (C)","0.179436842150733"
"271","Italy (C)","Spain (C)","0.206920066172042"
"272","Italy (C)","Switzerland (C)","0.177377827228396"
"273","Italy (C)","United Kingdom (C)","0.167435215903864"
"274","Italy (C)","Belgium, 2006","0.39275051935479"
"275","Italy (C)","Belgium, 2010","0.638060024259869"
"276","Italy (C)","China (Shanghai), 2018","1.02752673577215"
"277","Italy (C)","France, 2012","0.355697945480879"
"278","Italy (C)","Hong Kong, 2016","1.11220612163431"
"279","Italy (C)","Peru, 2011","3.42757238634389"
"280","Italy (C)","Zimbabwe, 2013","1.39685381520855"
"281","Italy (C)","Italy (P)","0.670337022440938"
"282","Italy (C)","Germany (P)","0.743104258487192"
"283","Italy (C)","Luxembourg (P)","0.478215931275741"
