"","Country A","Country B","KL divergence - per capita"
"403","Slovakia (C)","Belgium, 2010","0.122370212657459"
"404","Slovakia (C)","China (Shanghai), 2018","0.425189067609044"
"405","Slovakia (C)","France, 2012","0.0991655210927317"
"406","Slovakia (C)","Hong Kong, 2016","0.139169204314007"
"407","Slovakia (C)","Peru, 2011","0.49233018581695"
"408","Slovakia (C)","Zimbabwe, 2013","0.358361496799747"
"409","Slovakia (C)","Italy (P)","0.122455979645671"
"410","Slovakia (C)","Germany (P)","0.0958592160823463"
"411","Slovakia (C)","Luxembourg (P)","0.0997255234990254"
"412","Slovakia (C)","Netherlands (P)","0.660665066089914"
"413","Slovakia (C)","Poland (P)","0.153038514061512"
"414","Slovakia (C)","United Kingdom (P)","0.102946578646107"
"415","Slovakia (C)","Finland (P)","0.171115801811688"
"416","Slovakia (C)","Belgium (P)","0.163582115727861"
"417","Slovenia (C)","Austria (C)","0.0590785256283533"
"418","Slovenia (C)","Croatia (C)","0.0243353399310766"
"419","Slovenia (C)","Denmark (C)","0.0805539063534216"
"420","Slovenia (C)","Estonia (C)","0.0473251130476228"
"421","Slovenia (C)","Finland (C)","0.133463182974053"
"422","Slovenia (C)","France (C)","0.0661250686410531"
"423","Slovenia (C)","Greece (C)","0.0510023477914862"
"424","Slovenia (C)","Hungary (C)","0.0377437348078216"
"425","Slovenia (C)","Italy (C)","0.0786324896749767"
"426","Slovenia (C)","Lithuania (C)","0.0806312572066023"
"427","Slovenia (C)","Netherlands (C)","0.162166694550645"
"428","Slovenia (C)","Portugal (C)","0.0485828972354777"
"429","Slovenia (C)","Slovakia (C)","0.0272579875607548"
"430","Slovenia (C)","Slovenia (C)","0"
"431","Slovenia (C)","Spain (C)","0.0594939967897484"
"432","Slovenia (C)","Switzerland (C)","0.0609985597034008"
"433","Slovenia (C)","United Kingdom (C)","0.0469030493711226"
"434","Slovenia (C)","Belgium, 2006","0.122840064217984"
"435","Slovenia (C)","Belgium, 2010","0.123250932813967"
"436","Slovenia (C)","China (Shanghai), 2018","0.41856072143742"
"437","Slovenia (C)","France, 2012","0.0830779869480405"
"438","Slovenia (C)","Hong Kong, 2016","0.109083091989819"
"439","Slovenia (C)","Peru, 2011","0.389045976316039"
"440","Slovenia (C)","Zimbabwe, 2013","0.323098449551012"
"441","Slovenia (C)","Italy (P)","0.105868876044244"
"442","Slovenia (C)","Germany (P)","0.0856923636371448"
"443","Slovenia (C)","Luxembourg (P)","0.0914235864813875"
"444","Slovenia (C)","Netherlands (P)","0.71816630068295"
"445","Slovenia (C)","Poland (P)","0.13486012537515"
"446","Slovenia (C)","United Kingdom (P)","0.0940970236350778"
"447","Slovenia (C)","Finland (P)","0.169970193555909"
"448","Slovenia (C)","Belgium (P)","0.172944275929664"
"449","Spain (C)","Austria (C)","0.0923624052776473"
"450","Spain (C)","Croatia (C)","0.0480228004640705"
"451","Spain (C)","Denmark (C)","0.129391752231156"
"452","Spain (C)","Estonia (C)","0.109169201112346"
"453","Spain (C)","Finland (C)","0.193937784860504"
"454","Spain (C)","France (C)","0.107386986241719"
"455","Spain (C)","Greece (C)","0.0506815161206816"
"456","Spain (C)","Hungary (C)","0.0832521886461252"
"457","Spain (C)","Italy (C)","0.0452126906210515"
"458","Spain (C)","Lithuania (C)","0.14313495168397"
"459","Spain (C)","Netherlands (C)","0.159375241036515"
"460","Spain (C)","Portugal (C)","0.0379459228792676"
"461","Spain (C)","Slovakia (C)","0.0861888375397665"
"462","Spain (C)","Slovenia (C)","0.0594939967897484"
"463","Spain (C)","Spain (C)","0"
"464","Spain (C)","Switzerland (C)","0.0950459015028804"
"465","Spain (C)","United Kingdom (C)","0.0624480161949423"
"466","Spain (C)","Belgium, 2006","0.204513522323524"
"467","Spain (C)","Belgium, 2010","0.174148356929879"
"468","Spain (C)","China (Shanghai), 2018","0.459803159451311"
"469","Spain (C)","France, 2012","0.121420890773805"
"470","Spain (C)","Hong Kong, 2016","0.124890043563052"
"471","Spain (C)","Peru, 2011","0.437816365628686"
"472","Spain (C)","Zimbabwe, 2013","0.317838476057928"
"473","Spain (C)","Italy (P)","0.120269904558634"
"474","Spain (C)","Germany (P)","0.135989074036455"
"475","Spain (C)","Luxembourg (P)","0.107443401688536"
"476","Spain (C)","Netherlands (P)","0.852054381887663"
"477","Spain (C)","Poland (P)","0.171068697589809"
"478","Spain (C)","United Kingdom (P)","0.150094983772123"
"479","Spain (C)","Finland (P)","0.24605091157991"
"480","Spain (C)","Belgium (P)","0.275657365307288"
"481","Switzerland (C)","Austria (C)","0.0290807945799304"
"482","Switzerland (C)","Croatia (C)","0.0590812860012556"
"483","Switzerland (C)","Denmark (C)","0.0447719413891506"
"484","Switzerland (C)","Estonia (C)","0.0437875374295833"
"485","Switzerland (C)","Finland (C)","0.0633267436233967"
"486","Switzerland (C)","France (C)","0.0686867501743525"
"487","Switzerland (C)","Greece (C)","0.0597167031046063"
"488","Switzerland (C)","Hungary (C)","0.0728674119026347"
"489","Switzerland (C)","Italy (C)","0.111959418329533"
"490","Switzerland (C)","Lithuania (C)","0.0529411507492832"
"491","Switzerland (C)","Netherlands (C)","0.0939327610233946"
"492","Switzerland (C)","Portugal (C)","0.0909314354746106"
