cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
900584006,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
900584007,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
900584008,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
900584009,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
900584010,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
900584011,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
900584012,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
900584013,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
900584014,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
900585001,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
900585002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
900585003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
900585004,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
900585005,NA,NA,NA,NA,NA,NA,NA
900585006,NA,NA,NA,NA,NA,NA,NA
900585007,NA,NA,NA,NA,NA,NA,NA
900585008,NA,NA,NA,NA,NA,NA,NA
900586001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
900586002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
900586003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
900586004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
900586005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
900586006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
