"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","cnt_small","cnt_large_inc","cnt_ind"
10941401,109414002,9,8,10,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941401,109414003,34,25,34,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941501,109415001,30,25,34,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941501,109415002,46,45,54,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941501,109415003,62,55,64,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941501,109415004,32,25,34,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941601,109416001,71,70,74,"M",3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941601,109416002,74,70,74,"F",3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941801,109418001,35,35,44,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941801,109418002,3,1,3,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941801,109418003,29,25,34,"F",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10941801,109418004,34,25,34,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10941801,109418005,25,25,34,"M",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10941801,109418006,46,45,54,"F",1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10941801,109418007,6,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418008,9,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418009,10,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418010,11,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418011,4,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418012,44,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418013,21,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418014,39,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418015,60,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418016,58,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418017,46,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418018,19,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418019,44,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418020,37,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418021,23,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418022,47,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418023,33,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418024,58,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418025,21,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418026,27,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418027,33,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418028,40,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418029,40,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418030,50,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418031,37,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418032,69,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418033,78,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418034,83,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
10941801,109418035,79,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE
